,edycja,panel,zlozone_liczba,zlozone_kwota,2_etap_liczba,2_etap_kwota,finansowane_liczba,finansowane_kwota
0,1,HS1,54,8742816,24,,20,1727799
1,1,HS2,165,28784338,84,,51,6486174
2,1,HS3,122,24567042,66,,33,5187303
3,1,HS4,300,64503428,121,,91,14004495
4,1,HS5,98,16069009,38,,33,3282398
5,1,HS6,149,26025651,64,,25,5561380
6,1,NZ1,103,51316574,49,,22,11397480
7,1,NZ2,56,30929236,22,,15,7562099
8,1,NZ3,88,34797746,38,,19,8331665
9,1,NZ4,230,104050291,94,,57,23860008
10,1,NZ5,125,62031504,66,,31,13811333
11,1,NZ6,68,23156052,31,,14,5176515
12,1,NZ7,116,53486417,62,,32,11394311
13,1,NZ8,117,33197182,58,,29,8359844
14,1,NZ9,268,98262862,111,,52,18974214
15,1,ST1,81,21047675,52,,29,5639550
16,1,ST2,80,31016295,47,,26,7165009
17,1,ST3,114,53660710,58,,30,11509450
18,1,ST4,110,43319633,50,,24,9861990
19,1,ST5,319,140900639,139,,64,28860570
20,1,ST6,116,44005150,48,,26,10219660
21,1,ST7,152,102025491,69,,41,19734336
22,1,ST8,430,220237475,120,,65,29275451
23,1,ST9,52,24860714,27,,15,6500950
24,1,ST10,178,72597951,74,,57,15499707
0,2,HS1,51,5105273,27,2031658.0,17,1102973
1,2,HS2,168,31439380,76,12674549.0,42,6588855
2,2,HS3,128,23772042,60,10384672.0,34,5210229
3,2,HS4,302,55462660,112,20365481.0,70,12258276
4,2,HS5,86,12095601,41,5622281.0,17,2966134
5,2,HS6,124,34899516,52,13915321.0,25,7273699
6,2,NZ1,93,54677812,34,19110632.0,23,11432301
7,2,NZ2,66,38658571,28,16463224.0,13,8267539
8,2,NZ3,77,35398263,31,16344914.0,12,8199792
9,2,NZ4,98,52940950,40,19240520.0,19,9434542
10,2,NZ5,123,61644283,45,23285120.0,21,11620468
11,2,NZ6,80,31887931,33,13989985.0,16,6798710
12,2,NZ7,152,71284842,57,28087729.0,26,14310321
13,2,NZ8,115,39526828,41,14393504.0,20,7214805
14,2,NZ9,203,84654839,76,34309374.0,37,17560926
15,2,ST1,68,17867447,31,8779782.0,15,4553204
16,2,ST2,38,21513459,20,7611371.0,16,5205613
17,2,ST3,80,40030783,30,14322763.0,21,9137898
18,2,ST4,93,43520270,43,20779295.0,20,9657775
19,2,ST5,257,121874863,122,56990124.0,55,27618299
20,2,ST6,75,37753491,28,15377320.0,15,7543214
21,2,ST7,134,77725600,55,30035166.0,28,15144633
22,2,ST8,313,168286672,103,51006330.0,47,26533567
23,2,ST9,33,19031473,18,9760224.0,10,4758990
24,2,ST10,131,63042910,48,21938452.0,29,10844100
